S10_w,S10_x,S10_y,S10_z,S8_w,S8_x,S8_y,S8_z,index_pose_position_x,index_pose_position_y,index_pose_position_z
-0.2975,0.1798,0.8656,0.3603,-0.2445,0.3808,0.7683,0.4524,41.0747199584,71.62682714,58.8363577468
-0.2977,0.1768,0.8666,0.3591,-0.2434,0.3696,0.7615,0.4733,40.980464405,71.132422615,59.57396978
-0.2977,0.1768,0.8666,0.3591,-0.2434,0.3696,0.7615,0.4733,40.773972145,71.757615415,58.83980905
-0.2978,0.1748,0.8675,0.3579,-0.2427,0.3686,0.7601,0.4767,41.0693104922,71.5418341902,58.7003463318
-0.2978,0.1753,0.867,0.3588,-0.2404,0.3776,0.7633,0.4656,41.1599465152,71.3908646498,59.1054009502
-0.2978,0.1753,0.867,0.3588,-0.2404,0.3776,0.7633,0.4656,41.1840088288,70.7984179244,59.1283387676
-0.2977,0.1758,0.8668,0.3592,-0.2376,0.3822,0.7679,0.4556,40.869272378,70.879099512,59.315244655
-0.3001,0.1779,0.8661,0.3579,-0.2293,0.3851,0.7768,0.4422,40.9045313374,71.3125751112,59.0510291486
-0.3032,0.1774,0.8664,0.3547,-0.236,0.3742,0.8038,0.3975,40.2455143448,71.2779424452,59.3028143192
-0.3032,0.1774,0.8664,0.3547,-0.236,0.3742,0.8038,0.3975,39.6320801294,71.1639612138,57.884424378
-0.3061,0.1741,0.8689,0.3475,-0.2289,0.3746,0.791,0.426,40.2341749326,70.7765195864,57.938910796
-0.3083,0.1724,0.8701,0.3433,-0.2253,0.3805,0.7795,0.4435,39.8227151452,70.6849544228,56.770786706
-0.3097,0.171,0.8712,0.3402,-0.2172,0.3864,0.7699,0.4589,39.5128992506,70.6007133676,55.6092905888
-0.3097,0.171,0.8712,0.3402,-0.2172,0.3864,0.7699,0.4589,39.4392059652,70.3865520798,55.9655173062
-0.3088,0.1713,0.8713,0.3403,-0.2098,0.3881,0.7667,0.4661,38.921931404,69.9206450528,55.8809181612
-0.3073,0.1701,0.8728,0.3386,-0.2008,0.3901,0.764,0.4729,38.6985646746,70.0147897538,55.4779458292
-0.3065,0.1707,0.8732,0.338,-0.1915,0.3928,0.7594,0.4818,38.7052831644,69.8861858674,55.6749024682
